iter	Passed	Remaining
0	158	126608
1	185	74213
2	213	56631
3	247	49235
4	272	43357
5	300	39724
6	327	37097
7	355	35174
8	381	33495
9	408	32294
10	465	33354
11	493	32378
12	518	31407
13	544	30596
14	571	29907
15	597	29291
16	625	28801
17	654	28423
18	682	28067
19	710	27707
20	735	27295
21	762	26973
22	788	26651
23	815	26369
24	841	26088
25	866	25806
26	893	25571
27	918	25330
28	942	25070
29	969	24875
30	993	24638
31	1020	24486
32	1046	24317
33	1072	24155
34	1096	23976
35	1122	23832
36	1148	23676
37	1171	23495
38	1197	23369
39	1222	23218
40	1248	23115
41	1274	23009
42	1303	22949
43	1332	22892
44	1358	22787
45	1384	22693
46	1410	22600
47	1439	22546
48	1465	22455
49	1490	22363
50	1516	22271
51	1542	22185
52	1567	22086
53	1592	21996
54	1618	21920
55	1643	21829
56	1668	21752
57	1693	21669
58	1719	21595
59	1743	21505
60	1768	21428
61	1797	21392
62	1831	21423
63	1864	21440
64	1898	21465
65	1930	21470
66	1967	21521
67	2001	21540
68	2035	21563
69	2070	21590
70	2102	21589
71	2136	21602
72	2168	21596
73	2203	21617
74	2236	21616
75	2267	21598
76	2299	21593
77	2333	21600
78	2364	21580
79	2394	21547
80	2426	21534
81	2460	21542
82	2489	21509
83	2522	21499
84	2555	21492
85	2586	21472
86	2617	21454
87	2652	21461
88	2685	21457
89	2717	21439
90	2749	21424
91	2782	21415
92	2815	21405
93	2847	21384
94	2881	21382
95	2914	21373
96	2946	21354
97	2980	21351
98	3014	21346
99	3047	21334
100	3079	21315
101	3111	21291
102	3145	21282
103	3177	21262
104	3209	21241
105	3242	21229
106	3278	21231
107	3311	21219
108	3344	21202
109	3377	21186
110	3410	21170
111	3443	21153
112	3478	21150
113	3514	21147
114	3549	21143
115	3584	21134
116	3620	21133
117	3657	21137
118	3693	21134
119	3725	21112
120	3760	21101
121	3792	21078
122	3825	21057
123	3859	21038
124	3894	21032
125	3926	21002
126	3959	20982
127	3994	20968
128	4030	20962
129	4062	20937
130	4095	20916
131	4130	20901
132	4165	20888
133	4199	20874
134	4234	20859
135	4267	20834
136	4300	20812
137	4333	20786
138	4367	20770
139	4400	20745
140	4435	20731
141	4472	20722
142	4506	20703
143	4539	20681
144	4573	20660
145	4608	20645
146	4643	20626
147	4675	20599
148	4709	20575
149	4743	20553
150	4776	20528
151	4809	20503
152	4843	20484
153	4877	20459
154	4912	20442
155	4945	20416
156	4978	20389
157	5013	20370
158	5048	20354
159	5084	20338
160	5122	20330
161	5157	20311
162	5192	20291
163	5227	20270
164	5261	20248
165	5294	20220
166	5329	20202
167	5364	20182
168	5398	20157
169	5433	20136
170	5467	20112
171	5500	20083
172	5535	20063
173	5569	20037
174	5602	20010
175	5637	19988
176	5670	19958
177	5704	19932
178	5738	19907
179	5770	19877
180	5806	19856
181	5854	19879
182	5891	19862
183	5928	19846
184	5961	19817
185	5996	19793
186	6030	19768
187	6066	19747
188	6099	19719
189	6133	19691
190	6168	19667
191	6203	19644
192	6238	19620
193	6270	19588
194	6304	19560
195	6339	19535
196	6371	19503
197	6407	19480
198	6441	19454
199	6475	19426
200	6508	19395
201	6545	19377
202	6581	19356
203	6615	19327
204	6649	19300
205	6683	19271
206	6718	19245
207	6753	19221
208	6789	19199
209	6824	19174
210	6870	19178
211	6905	19154
212	6938	19122
213	6971	19091
214	7005	19061
215	7037	19026
216	7072	19001
217	7109	18981
218	7143	18951
219	7178	18925
220	7212	18897
221	7246	18868
222	7281	18841
223	7317	18816
224	7351	18788
225	7386	18759
226	7420	18730
227	7456	18706
228	7492	18681
229	7526	18651
230	7562	18627
231	7593	18591
232	7627	18560
233	7663	18535
234	7695	18502
235	7731	18475
236	7763	18442
237	7797	18412
238	7832	18384
239	7867	18356
240	7901	18327
241	7935	18296
242	7969	18267
243	8005	18241
244	8039	18212
245	8073	18182
246	8106	18150
247	8141	18121
248	8176	18092
249	8212	18066
250	8246	18036
251	8279	18005
252	8318	17986
253	8355	17961
254	8392	17935
255	8426	17905
256	8458	17870
257	8494	17845
258	8529	17816
259	8564	17787
260	8600	17761
261	8636	17734
262	8671	17704
263	8705	17675
264	8741	17647
265	8774	17614
266	8808	17583
267	8842	17553
268	8875	17519
269	8910	17490
270	8945	17462
271	8979	17430
272	9014	17402
273	9049	17372
274	9085	17345
275	9117	17310
276	9151	17277
277	9184	17245
278	9217	17213
279	9252	17183
280	9287	17154
281	9320	17120
282	9356	17093
283	9390	17061
284	9425	17032
285	9462	17005
286	9497	16975
287	9531	16944
288	9566	16914
289	9601	16885
290	9635	16853
291	9670	16823
292	9705	16793
293	9740	16763
294	9777	16738
295	9809	16702
296	9845	16674
297	9879	16643
298	9915	16614
299	9950	16584
300	9985	16554
301	10021	16524
302	10058	16498
303	10094	16470
304	10128	16438
305	10165	16410
306	10199	16379
307	10234	16348
308	10269	16317
309	10304	16287
310	10335	16251
311	10368	16217
312	10405	16190
313	10439	16158
314	10471	16123
315	10506	16091
316	10541	16061
317	10592	16056
318	10629	16027
319	10664	15996
320	10698	15964
321	10733	15933
322	10767	15900
323	10798	15864
324	10833	15834
325	10869	15803
326	10901	15768
327	10937	15738
328	10969	15704
329	11004	15673
330	11039	15641
331	11072	15608
332	11106	15576
333	11138	15540
334	11171	15506
335	11206	15475
336	11241	15444
337	11275	15412
338	11309	15380
339	11342	15345
340	11378	15315
341	11413	15284
342	11445	15249
343	11481	15219
344	11524	15199
345	11559	15168
346	11595	15137
347	11630	15106
348	11664	15073
349	11696	15038
350	11730	15006
351	11764	14972
352	11799	14942
353	11832	14907
354	11865	14873
355	11900	14842
356	11936	14812
357	11972	14781
358	12008	14751
359	12042	14718
360	12076	14685
361	12111	14654
362	12145	14621
363	12180	14589
364	12213	14556
365	12249	14525
366	12285	14495
367	12321	14464
368	12356	14432
369	12391	14400
370	12426	14369
371	12462	14338
372	12495	14305
373	12530	14272
374	12563	14238
375	12597	14206
376	12632	14174
377	12665	14139
378	12697	14105
